Monthly consumer confidence in Japan 2025,
Japan: monthly consumer confidence index from January 2014 to March 2025,
,
Jan 2014,40.30
Feb 2014,38.60
Mar 2014,37.20
Apr 2014,37.40
May 2014,39
Jun 2014,40.40
Jul 2014,41.50
Aug 2014,40.70
Sep 2014,40.10
Oct 2014,39.30
Nov 2014,38.20
Dec 2014,39
Jan 2015,39
Feb 2015,40.80
Mar 2015,41.30
Apr 2015,41.90
May 2015,41.40
Jun 2015,41.60
Jul 2015,41
Aug 2015,41.70
Sep 2015,40.90
Oct 2015,41.60
Nov 2015,42.40
Dec 2015,42.30
Jan 2016,42
Feb 2016,40
Mar 2016,41.20
Apr 2016,41.10
May 2016,41
Jun 2016,41.90
Jul 2016,41.60
Aug 2016,42.20
Sep 2016,43.10
Oct 2016,42.40
Nov 2016,40.80
Dec 2016,42.70
Jan 2017,42.80
Feb 2017,42.90
Mar 2017,43.80
Apr 2017,43.50
May 2017,43.70
Jun 2017,43.30
Jul 2017,44.10
Aug 2017,43.70
Sep 2017,44.10
Oct 2017,44.60
Nov 2017,44.50
Dec 2017,44.30
Jan 2018,44.40
Feb 2018,44.10
Mar 2018,44.10
Apr 2018,43.80
May 2018,44.10
Jun 2018,43.70
Jul 2018,43.80
Aug 2018,43.70
Sep 2018,43.50
Oct 2018,43
Nov 2018,42.60
Dec 2018,42.50
Jan 2019,41.60
Feb 2019,41.30
Mar 2019,40.20
Apr 2019,40.40
May 2019,39.70
Jun 2019,38.50
Jul 2019,38.10
Aug 2019,37.70
Sep 2019,35.70
Oct 2019,36.20
Nov 2019,38.60
Dec 2019,38.90
Jan 2020,39
Feb 2020,38.20
Mar 2020,30.80
Apr 2020,21.60
May 2020,24.40
Jun 2020,28.10
Jul 2020,29.60
Aug 2020,29.80
Sep 2020,32.60
Oct 2020,33.10
Nov 2020,33.50
Dec 2020,31.70
Jan 2021,29.80
Feb 2021,33.80
Mar 2021,36
Apr 2021,35.10
May 2021,34.40
Jun 2021,37.10
Jul 2021,37.60
Aug 2021,37.10
Sep 2021,37.80
Oct 2021,39
Nov 2021,39.40
Dec 2021,38.80
Jan 2022,36.70
Feb 2022,35.20
Mar 2022,32.30
Apr 2022,32.10
May 2022,33.20
Jun 2022,31.80
Jul 2022,30.10
Aug 2022,32.30
Sep 2022,31
Oct 2022,30.60
Nov 2022,29.90
Dec 2022,30.90
Jan 2023,31.20
Feb 2023,31
Mar 2023,33.70
Apr 2023,35
May 2023,36.20
Jun 2023,36.40
Jul 2023,37
Aug 2023,36.30
Sep 2023,35.50
Oct 2023,35.80
Nov 2023,36.20
Dec 2023,37
Jan 2024,37.90
Feb 2024,38.70
Mar 2024,39.50
Apr 2024,38.20
May 2024,36.60
Jun 2024,36.70
Jul 2024,36.90
Aug 2024,36.80
Sep 2024,37
Oct 2024,36.10
Nov 2024,36.20
Dec 2024,35.90
Jan 2025,35.10
Feb 2025,34.80
Mar 2025,34.10
