Consumer confidence index in the UK 2008-2024,
Consumer confidence index of the United Kingdom from January 2008 to December 2024 (100 = long-term average),
,
Jan 08,100.36
Feb 08,99.91
Mar 08,99.27
Apr 08,98.35
May 08,97.40
Jun 08,96.52
Jul 08,95.95
Aug 08,95.96
Sep 08,96.13
Oct 08,96.17
Nov 08,96.08
Dec 08,95.82
Jan 09,95.55
Feb 09,95.77
Mar 09,96.37
Apr 09,97.03
May 09,97.55
Jun 09,98.07
Jul 09,98.53
Aug 09,99.02
Sep 09,99.69
Oct 09,100.10
Nov 09,100.24
Dec 09,100.27
Jan 10,100.44
Feb 10,100.56
Mar 10,100.47
Apr 10,100.22
May 10,99.86
Jun 10,99.54
Jul 10,99.26
Aug 10,99.06
Sep 10,98.71
Oct 10,98.39
Nov 10,98.09
Dec 10,97.78
Jan 11,97.38
Feb 11,97.13
Mar 11,96.99
Apr 11,97.02
May 11,97.38
Jun 11,97.41
Jul 11,97.12
Aug 11,96.68
Sep 11,96.29
Oct 11,96.05
Nov 11,96.08
Dec 11,96.27
Jan 12,96.56
Feb 12,96.64
Mar 12,96.50
Apr 12,96.37
May 12,96.37
Jun 12,96.54
Jul 12,96.79
Aug 12,96.90
Sep 12,96.87
Oct 12,96.95
Nov 12,97.26
Dec 12,97.34
Jan 13,97.33
Feb 13,97.29
Mar 13,97.40
Apr 13,97.59
May 13,97.93
Jun 13,98.49
Jul 13,99.27
Aug 13,99.77
Sep 13,99.97
Oct 13,99.94
Nov 13,99.92
Dec 13,100.17
Jan 14,100.63
Feb 14,100.99
Mar 14,101.31
Apr 14,101.58
May 14,101.73
Jun 14,101.82
Jul 14,101.81
Aug 14,101.80
Sep 14,101.64
Oct 14,101.57
Nov 14,101.53
Dec 14,101.67
Jan 15,101.95
Feb 15,102.22
Mar 15,102.41
Apr 15,102.40
May 15,102.27
Jun 15,102.41
Jul 15,102.50
Aug 15,102.48
Sep 15,102.40
Oct 15,102.39
Nov 15,102.44
Dec 15,102.63
Jan 16,102.64
Feb 16,102.46
Mar 16,102.25
Apr 16,102.03
May 16,101.79
Jun 16,101.39
Jul 16,100.84
Aug 16,100.84
Sep 16,101.19
Oct 16,101.35
Nov 16,101.26
Dec 16,101.18
Jan 17,101.07
Feb 17,100.97
Mar 17,100.93
Apr 17,100.90
May 17,100.82
Jun 17,100.65
Jul 17,100.58
Aug 17,100.52
Sep 17,100.51
Oct 17,100.55
Nov 17,100.57
Dec 17,100.59
Jan 18,100.66
Feb 18,100.77
Mar 18,100.87
Apr 18,100.92
May 18,101.04
Jun 18,101.08
Jul 18,101.16
Aug 18,101.08
Sep 18,100.89
Oct 18,100.70
Nov 18,100.44
Dec 18,100.13
Jan 19,99.85
Feb 19,99.72
Mar 19,99.71
Apr 19,99.86
May 19,100.10
Jun 19,100.18
Jul 19,100.22
Aug 19,100.03
Sep 19,99.99
Oct 19,100.09
Nov 19,100.39
Dec 19,100.73
Jan 20,100.85
Feb 20,100.50
Mar 20,99.45
Apr 20,97.94
May 20,97.19
Jun 20,97.33
Jul 20,97.82
Aug 20,98.02
Sep 20,97.85
Oct 20,97.52
Nov 20,97.42
Dec 20,97.82
Jan 21,98.40
Feb 21,99.45
Mar 21,100.73
Apr 21,101.73
May 21,102.50
Jun 21,102.85
Jul 21,102.79
Aug 21,102.29
Sep 21,101.45
Oct 21,100.75
Nov 21,100.43
Dec 21,99.96
Jan 22,98.96
Feb 22,97.48
Mar 22,95.96
Apr 22,94.68
May 22,93.93
Jun 22,93.52
Jul 22,93.18
Aug 22,92.66
Sep 22,92.23
Oct 22,92.33
Nov 22,92.76
Dec 22,93.16
Jan 23,93.59
Feb 23,94.41
Mar 23,95.32
Apr 23,96.36
May 23,97.21
Jun 23,97.67
Jul 23,97.67
Aug 23,97.85
Sep 23,97.93
Oct 23,97.75
Nov 23,98.03
Dec 23,98.43
Jan 24,98.72
Feb 24,98.75
Mar 24,98.87
Apr 24,99.18
May 24,99.63
Jun 24,100.05
Jul 24,100.24
Aug 24,99.98
Sep 24,99.32
Oct 24,99.01
Nov 24,99.12
Dec 24,99.36
