mi_consumer_luxury-goods_united-states_usd_en_2025-4-4_15-07-32
Region,Market,Chart,Name,Unit,Source,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
United States,Luxury Leather Goods,Revenue,Total,USD (US$),Statista Market Insights,"11,060,532,359.955","12,130,107,426.044","10,146,228,676.659","11,754,440,260.56","12,558,846,898.03","14,828,605,751.052","16,186,759,446.429","17,863,829,316.985","19,524,128,488.837","21,167,824,668.969","22,795,083,887.3","24,406,070,513.448"
United States,Luxury Leather Goods,Revenue Change,Total,percent,Statista Market Insights,0,0.097,-0.164,0.159,0.068,0.181,0.092,0.104,0.093,0.084,0.077,0.071
United States,Luxury Leather Goods,Average Revenue per Capita,Total,USD (US$),Statista Market Insights,33.301,36.283,30.202,34.88,37.125,43.614,47.355,51.99,56.532,60.985,65.352,69.633
United States,Luxury Leather Goods,Company Shares,LVMH,percent,Statista Market Insights,0,0,0,0,0,0.418,0,0,0,0,0,0
United States,Luxury Leather Goods,Company Shares,Tapestry,percent,Statista Market Insights,0,0,0,0,0,0.12,0,0,0,0,0,0
United States,Luxury Leather Goods,Company Shares,Burberry,percent,Statista Market Insights,0,0,0,0,0,0.015,0,0,0,0,0,0
United States,Luxury Leather Goods,Company Shares,Hermès,percent,Statista Market Insights,0,0,0,0,0,0.065,0,0,0,0,0,0
United States,Luxury Leather Goods,Company Shares,Giorgio Armani,percent,Statista Market Insights,0,0,0,0,0,0.018,0,0,0,0,0,0
United States,Luxury Leather Goods,Company Shares,Brunello Cuccinelli,percent,Statista Market Insights,0,0,0,0,0,0.015,0,0,0,0,0,0
United States,Luxury Leather Goods,Company Shares,Prada,percent,Statista Market Insights,0,0,0,0,0,0.018,0,0,0,0,0,0
United States,Luxury Leather Goods,Company Shares,Hugo Boss,percent,Statista Market Insights,0,0,0,0,0,0.025,0,0,0,0,0,0
United States,Luxury Leather Goods,Company Shares,Dolce & Gabanna,percent,Statista Market Insights,0,0,0,0,0,0.01,0,0,0,0,0,0
United States,Luxury Leather Goods,Company Shares,Chanel,percent,Statista Market Insights,0,0,0,0,0,0.081,0,0,0,0,0,0
United States,Luxury Leather Goods,Company Shares,Zegna,percent,Statista Market Insights,0,0,0,0,0,0.015,0,0,0,0,0,0
United States,Luxury Leather Goods,Company Shares,Kering,percent,Statista Market Insights,0,0,0,0,0,0.115,0,0,0,0,0,0
United States,Luxury Leather Goods,Company Shares,Other,percent,Statista Market Insights,0,0,0,0,0,0.01,0,0,0,0,0,0
United States,Luxury Leather Goods,Company Shares,Capri Holdings,percent,Statista Market Insights,0,0,0,0,0,0.066,0,0,0,0,0,0
United States,Luxury Leather Goods,Company Shares,Salvatore Ferragamo,percent,Statista Market Insights,0,0,0,0,0,0.01,0,0,0,0,0,0
United States,Luxury Leather Goods,Online Revenue Share,Online,percent,Statista Market Insights,0.165,0.174,0.247,0.26,0.293,0.312,0.34,0.354,0.362,0.366,0.367,0.366
United States,Luxury Leather Goods,Online Revenue Share,Offline,percent,Statista Market Insights,0.835,0.826,0.753,0.74,0.707,0.688,0.66,0.646,0.638,0.634,0.633,0.634
United States,Luxury Leather Goods,Mobile/Desktop Split,Mobile,percent,Statista Market Insights,0.404,0.432,0.46,0.481,0.506,0.531,0.554,0.579,0.596,0.613,0,0
United States,Luxury Leather Goods,Mobile/Desktop Split,Desktop,percent,Statista Market Insights,0.596,0.568,0.54,0.519,0.494,0.469,0.446,0.421,0.404,0.387,0,0
United States,Luxury Leather Goods,Revenue Comparison,Australia,USD (US$),Statista Market Insights,"1,469,838,337.092","1,563,040,899.925","1,156,583,176.812","1,829,673,268.952","1,727,462,640.41","2,118,301,082.168","2,204,199,079.285","2,286,654,826.046","2,368,286,015.339","2,449,100,892.739","2,529,107,621.365","2,608,314,282.705"
United States,Luxury Leather Goods,Revenue Comparison,Canada,USD (US$),Statista Market Insights,"1,264,719,757.301","1,422,611,346.382","1,184,629,060.037","1,492,939,669.401","1,609,967,309.61","1,877,969,473.549","1,939,958,472.173","1,999,446,672.392","2,058,339,990.609","2,116,644,375.644","2,174,365,716.829","2,231,509,844.602"
United States,Luxury Leather Goods,Revenue Comparison,United States,USD (US$),Statista Market Insights,"11,060,532,359.955","12,130,107,426.044","10,146,228,676.659","11,754,440,260.56","12,558,846,898.03","14,828,605,751.052","16,186,759,446.429","17,863,829,316.985","19,524,128,488.837","21,167,824,668.969","22,795,083,887.3","24,406,070,513.448"
United States,Luxury Leather Goods,Revenue Comparison,Saudi Arabia,USD (US$),Statista Market Insights,"315,408,307.713","377,214,723.963","329,559,033.794","440,165,877.548","464,333,802.05","516,304,380.57","528,420,532.078","540,047,390.81","551,557,980.955","562,953,465.198","574,234,994.599","585,403,708.706"
